Cholera  unspecified,A009,
Typhoid fever  unspecified,A0100,
Typhoid meningitis,A0101,
Typhoid fever with heart involvement,A0102,
Typhoid pneumonia,A0103,
Typhoid arthritis,A0104,
Typhoid osteomyelitis,A0105,
Typhoid fever with other complications,A0109,
Paratyphoid fever A,A011,
Paratyphoid fever B,A012,
Paratyphoid fever C,A013,
Paratyphoid fever  unspecified,A014,
Salmonella enteritis,A020,
Salmonella sepsis,A021,
Localized salmonella infection  unspecified,A0220,
Salmonella meningitis,A0221,
Salmonella pneumonia,A0222,
Salmonella arthritis,A0223,
Salmonella osteomyelitis,A0224,
Salmonella pyelonephritis,A0225,
Salmonella with other localized infection,A0229,
Other specified salmonella infections,A028,
Salmonella infection  unspecified,A029,
Shigellosis due to Shigella dysenteriae,A030,
Shigellosis due to Shigella flexneri,A031,
Shigellosis due to Shigella boydii,A032,
Shigellosis due to Shigella sonnei,A033,
Other shigellosis,A038,
Shigellosis  unspecified,A039,
Enteropathogenic Escherichia coli infection,A040,
Enterotoxigenic Escherichia coli infection,A041,
Enteroinvasive Escherichia coli infection,A042,
Enterohemorrhagic Escherichia coli infection,A043,
Other intestinal Escherichia coli infections,A044,
Campylobacter enteritis,A045,
Enteritis due to Yersinia enterocolitica,A046,
Enterocolitis due to Clostridium difficile,A047,
Other specified bacterial intestinal infections,A048,
Bacterial intestinal infection  unspecified,A049,
Foodborne staphylococcal intoxication,A050,
Botulism food poisoning,A051,
Foodborne Clostridium perfringens [Clostridium welchii] intoxication,A052,
Foodborne Vibrio parahaemolyticus intoxication,A053,
Foodborne Bacillus cereus intoxication,A054,
Foodborne Vibrio vulnificus intoxication,A055,
Other specified bacterial foodborne intoxications,A058,
Bacterial foodborne intoxication  unspecified,A059,
Acute amebic dysentery,A060,
Chronic intestinal amebiasis,A061,
Amebic nondysenteric colitis,A062,
Ameboma of intestine,A063,
Amebic liver abscess,A064,
Amebic lung abscess,A065,
Amebic brain abscess,A066,
Cutaneous amebiasis,A067,
Amebic cystitis,A0681,
Other amebic genitourinary infections,A0682,
Other amebic infections,A0689,
Amebiasis  unspecified,A069,
Balantidiasis,A070,
Giardiasis [lambliasis],A071,
Cryptosporidiosis,A072,
Isosporiasis,A073,
Cyclosporiasis,A074,
Other specified protozoal intestinal diseases,A078,
Protozoal intestinal disease  unspecified,A079,
Rotaviral enteritis,A080,
Acute gastroenteropathy due to Norwalk agent,A0811,
Acute gastroenteropathy due to other small round viruses,A0819,
Adenoviral enteritis,A082,
Calicivirus enteritis,A0831,
Astrovirus enteritis,A0832,
Other viral enteritis,A0839,
Viral intestinal infection  unspecified,A084,
Other specified intestinal infections,A088,
Infectious gastroenteritis and colitis  unspecified,A09,
Tuberculosis of lung,A150,
Tuberculosis of intrathoracic lymph nsodes,A154,
Tuberculosis of larynx  trachea and bronchus,A155,
Tuberculous pleurisy,A156,
Primary respiratory tuberculosis,A157,
Other respiratory tuberculosis,A158,
Respiratory tuberculosis unspecified,A159,
Tuberculous meningitis,A170,
Meningeal tuberculoma,A171,
Tuberculoma of brain and spinal cord,A1781,
Tuberculous meningoencephalitis,A1782,
Tuberculous neuritis,A1783,
Other tuberculosis of nervous system,A1789,
Tuberculosis of nervous system  unspecified,A179,
Tuberculosis of spine,A1801,
Tuberculous arthritis of other joints,A1802,
Tuberculosis of other bones,A1803,
Other musculoskeletal tuberculosis,A1809,
Tuberculosis of genitourinary system  unspecified,A1810,
Tuberculosis of kidney and ureter,A1811,
Tuberculosis of bladder,A1812,
Tuberculosis of other urinary organs,A1813,
Tuberculosis of prostate,A1814,
Tuberculosis of other male genital organs,A1815,
Tuberculosis of cervix,A1816,
Tuberculous female pelvic inflammatory disease,A1817,
Tuberculosis of other female genital organs,A1818,
Tuberculous peripheral lymphadenopathy,A182,
Tuberculous peritonitis,A1831,
Tuberculous enteritis,A1832,
Retroperitoneal tuberculosis,A1839,
Tuberculosis of skin and subcutaneous tissue,A184,
Tuberculosis of eye  unspecified,A1850,
Tuberculous episcleritis,A1851,
Tuberculous keratitis,A1852,
Tuberculous chorioretinitis,A1853,
Tuberculous iridocyclitis,A1854,
Other tuberculosis of eye,A1859,
Tuberculosis of (inner) (middle) ear,A186,
Tuberculosis of adrenal glands,A187,
Tuberculosis of thyroid gland,A1881,
Tuberculosis of other endocrine glands,A1882,
Tuberculosis of digestive tract organs  not elsewhere classified,A1883,
Tuberculosis of heart,A1884,
Tuberculosis of spleen,A1885,
Tuberculosis of other sites,A1889,
Acute miliary tuberculosis of a single specified site,A190,
Acute miliary tuberculosis of multiple sites,A191,
Acute miliary tuberculosis  unspecified,A192,
Other miliary tuberculosis,A198,
Miliary tuberculosis  unspecified,A199,
Bubonic plague,A200,
Cellulocutaneous plague,A201,
Pneumonic plague,A202,
Plague meningitis,A203,
Septicemic plague,A207,
Other forms of plague,A208,
Plague  unspecified,A209,
Ulceroglandular tularemia,A210,
Oculoglandular tularemia,A211,
Pulmonary tularemia,A212,
Gastrointestinal tularemia,A213,
Generalized tularemia,A217,
Other forms of tularemia,A218,
Tularemia  unspecified,A219,
Cutaneous anthrax,A220,
Pulmonary anthrax,A221,
Gastrointestinal anthrax,A222,
Anthrax sepsis,A227,
Other forms of anthrax,A228,
Anthrax  unspecified,A229,
Brucellosis due to Brucella melitensis,A230,
Brucellosis due to Brucella abortus,A231,
Brucellosis due to Brucella suis,A232,
Brucellosis due to Brucella canis,A233,
Other brucellosis,A238,
Brucellosis  unspecified,A239,
Glanders,A240,
Acute and fulminating melioidosis,A241,
Subacute and chronic melioidosis,A242,
Other melioidosis,A243,
Melioidosis  unspecified,A249,
Spirillosis,A250,
Streptobacillosis,A251,
Rat-bite fever  unspecified,A259,
Cutaneous erysipeloid,A260,
Erysipelothrix sepsis,A267,
Other forms of erysipeloid,A268,
Erysipeloid  unspecified,A269,
Leptospirosis icterohemorrhagica,A270,
Aseptic meningitis in leptospirosis,A2781,
Other forms of leptospirosis,A2789,
Leptospirosis  unspecified,A279,
Pasteurellosis,A280,
Cat-scratch disease,A281,
Extraintestinal yersiniosis,A282,
Other specified zoonotic bacterial diseases  not elsewhere classified,A288,
Zoonotic bacterial disease  unspecified,A289,
Indeterminate leprosy,A300,
Tuberculoid leprosy,A301,
Borderline tuberculoid leprosy,A302,
Borderline leprosy,A303,
Borderline lepromatous leprosy,A304,
Lepromatous leprosy,A305,
Other forms of leprosy,A308,
Leprosy  unspecified,A309,
Pulmonary mycobacterial infection,A310,
Cutaneous mycobacterial infection,A311,
Disseminated mycobacterium avium-intracellulare complex (DMAC),A312,
Other mycobacterial infections,A318,
Mycobacterial infection  unspecified,A319,
Cutaneous listeriosis,A320,
Listerial meningitis,A3211,
Listerial meningoencephalitis,A3212,
Listerial sepsis,A327,
Oculoglandular listeriosis,A3281,
Listerial endocarditis,A3282,
Other forms of listeriosis,A3289,
Listeriosis  unspecified,A329,
Tetanus neonatorum,A33,
Obstetrical tetanus,A34,
Other tetanus,A35,
Pharyngeal diphtheria,A360,
Nasopharyngeal diphtheria,A361,
Laryngeal diphtheria,A362,
Cutaneous diphtheria,A363,
Diphtheritic cardiomyopathy,A3681,
Diphtheritic radiculomyelitis,A3682,
Diphtheritic polyneuritis,A3683,
Diphtheritic tubulo-interstitial nephropathy,A3684,
Diphtheritic cystitis,A3685,
Diphtheritic conjunctivitis,A3686,
Other diphtheritic complications,A3689,
Diphtheria  unspecified,A369,
Whooping cough due to Bordetella pertussis without pneumonia,A3700,
Whooping cough due to Bordetella pertussis with pneumonia,A3701,
Whooping cough due to Bordetella parapertussis without pneumonia,A3710,
Whooping cough due to Bordetella parapertussis with pneumonia,A3711,
Whooping cough due to other Bordetella species without pneumonia,A3780,
Whooping cough due to other Bordetella species with pneumonia,A3781,
Whooping cough  unspecified species without pneumonia,A3790,
Whooping cough  unspecified species with pneumonia,A3791,
Scarlet fever with otitis media,A380,
Scarlet fever with myocarditis,A381,
Scarlet fever with other complications,A388,
Scarlet fever  uncomplicated,A389,
Meningococcal meningitis,A390,
Waterhouse-Friderichsen syndrome,A391,
Acute meningococcemia,A392,
Chronic meningococcemia,A393,
Meningococcemia  unspecified,A394,
Meningococcal carditis  unspecified,A3950,
Meningococcal endocarditis,A3951,
Meningococcal myocarditis,A3952,
Meningococcal pericarditis,A3953,
Meningococcal encephalitis,A3981,
Meningococcal retrobulbar neuritis,A3982,
Meningococcal arthritis,A3983,
Postmeningococcal arthritis,A3984,
Other meningococcal infections,A3989,
Meningococcal infection  unspecified,A399,
Sepsis due to streptococcus  group A,A400,
Sepsis due to streptococcus  group B,A401,
Sepsis due to Streptococcus pneumoniae,A403,
Other streptococcal sepsis,A408,
Streptococcal sepsis  unspecified,A409,
Sepsis due to Methicillin susceptible Staphylococcus aureus,A4101,
Sepsis due to Methicillin resistant Staphylococcus aureus,A4102,
Sepsis due to other specified staphylococcus,A411,
Sepsis due to unspecified staphylococcus,A412,
Sepsis due to Hemophilus influenzae,A413,
Sepsis due to anaerobes,A414,
Gram-negative sepsis  unspecified,A4150,
Sepsis due to Escherichia coli [E. coli],A4151,
Sepsis due to Pseudomonas,A4152,
Sepsis due to Serratia,A4153,
Other Gram-negative sepsis,A4159,
Sepsis due to Enterococcus,A4181,
Other specified sepsis,A4189,
Sepsis  unspecified organism,A419,
Pulmonary actinomycosis,A420,
Abdominal actinomycosis,A421,
Cervicofacial actinomycosis,A422,
Actinomycotic sepsis,A427,
Actinomycotic meningitis,A4281,
Actinomycotic encephalitis,A4282,
Other forms of actinomycosis,A4289,
Actinomycosis  unspecified,A429,
Pulmonary nocardiosis,A430,
