Nondisplaced fracture of greater trochanter of unspecified femur  subsequent encounter for open fracture type IIIA  IIIB  or IIIC with nonunion,S72116N,
Nondisplaced fracture of greater trochanter of unspecified femur  subsequent encounter for closed fracture with malunion,S72116P,
Nondisplaced fracture of greater trochanter of unspecified femur  subsequent encounter for open fracture type I or II with malunion,S72116Q,
Nondisplaced fracture of greater trochanter of unspecified femur  subsequent encounter for open fracture type IIIA  IIIB  or IIIC with malunion,S72116R,
Nondisplaced fracture of greater trochanter of unspecified femur  sequela,S72116S,
Displaced fracture of lesser trochanter of right femur  initial encounter for closed fracture,S72121A,
Displaced fracture of lesser trochanter of right femur  initial encounter for open fracture type I or II,S72121B,
Displaced fracture of lesser trochanter of right femur  initial encounter for open fracture type IIIA  IIIB  or IIIC,S72121C,
Displaced fracture of lesser trochanter of right femur  subsequent encounter for closed fracture with routine healing,S72121D,
Displaced fracture of lesser trochanter of right femur  subsequent encounter for open fracture type I or II with routine healing,S72121E,
Displaced fracture of lesser trochanter of right femur  subsequent encounter for open fracture type IIIA  IIIB  or IIIC with routine healing,S72121F,
Displaced fracture of lesser trochanter of right femur  subsequent encounter for closed fracture with delayed healing,S72121G,
Displaced fracture of lesser trochanter of right femur  subsequent encounter for open fracture type I or II with delayed healing,S72121H,
Displaced fracture of lesser trochanter of right femur  subsequent encounter for open fracture type IIIA  IIIB  or IIIC with delayed healing,S72121J,
Displaced fracture of lesser trochanter of right femur  subsequent encounter for closed fracture with nonunion,S72121K,
Displaced fracture of lesser trochanter of right femur  subsequent encounter for open fracture type I or II with nonunion,S72121M,
Displaced fracture of lesser trochanter of right femur  subsequent encounter for open fracture type IIIA  IIIB  or IIIC with nonunion,S72121N,
Displaced fracture of lesser trochanter of right femur  subsequent encounter for closed fracture with malunion,S72121P,
Displaced fracture of lesser trochanter of right femur  subsequent encounter for open fracture type I or II with malunion,S72121Q,
Displaced fracture of lesser trochanter of right femur  subsequent encounter for open fracture type IIIA  IIIB  or IIIC with malunion,S72121R,
Displaced fracture of lesser trochanter of right femur  sequela,S72121S,
Displaced fracture of lesser trochanter of left femur  initial encounter for closed fracture,S72122A,
Displaced fracture of lesser trochanter of left femur  initial encounter for open fracture type I or II,S72122B,
Displaced fracture of lesser trochanter of left femur  initial encounter for open fracture type IIIA  IIIB  or IIIC,S72122C,
Displaced fracture of lesser trochanter of left femur  subsequent encounter for closed fracture with routine healing,S72122D,
Displaced fracture of lesser trochanter of left femur  subsequent encounter for open fracture type I or II with routine healing,S72122E,
Displaced fracture of lesser trochanter of left femur  subsequent encounter for open fracture type IIIA  IIIB  or IIIC with routine healing,S72122F,
Displaced fracture of lesser trochanter of left femur  subsequent encounter for closed fracture with delayed healing,S72122G,
Displaced fracture of lesser trochanter of left femur  subsequent encounter for open fracture type I or II with delayed healing,S72122H,
Displaced fracture of lesser trochanter of left femur  subsequent encounter for open fracture type IIIA  IIIB  or IIIC with delayed healing,S72122J,
Displaced fracture of lesser trochanter of left femur  subsequent encounter for closed fracture with nonunion,S72122K,
Displaced fracture of lesser trochanter of left femur  subsequent encounter for open fracture type I or II with nonunion,S72122M,
Displaced fracture of lesser trochanter of left femur  subsequent encounter for open fracture type IIIA  IIIB  or IIIC with nonunion,S72122N,
Displaced fracture of lesser trochanter of left femur  subsequent encounter for closed fracture with malunion,S72122P,
Displaced fracture of lesser trochanter of left femur  subsequent encounter for open fracture type I or II with malunion,S72122Q,
Displaced fracture of lesser trochanter of left femur  subsequent encounter for open fracture type IIIA  IIIB  or IIIC with malunion,S72122R,
Displaced fracture of lesser trochanter of left femur  sequela,S72122S,
Displaced fracture of lesser trochanter of unspecified femur  initial encounter for closed fracture,S72123A,
Displaced fracture of lesser trochanter of unspecified femur  initial encounter for open fracture type I or II,S72123B,
