Poisoning by heroin  assault  sequela,T401X3S,
Poisoning by heroin  undetermined  initial encounter,T401X4A,
Poisoning by heroin  undetermined  subsequent encounter,T401X4D,
Poisoning by heroin  undetermined  sequela,T401X4S,
Poisoning by other opioids  accidental (unintentional)  initial encounter,T402X1A,
Poisoning by other opioids  accidental (unintentional)  subsequent encounter,T402X1D,
Poisoning by other opioids  accidental (unintentional)  sequela,T402X1S,
Poisoning by other opioids  intentional self-harm  initial encounter,T402X2A,
Poisoning by other opioids  intentional self-harm  subsequent encounter,T402X2D,
Poisoning by other opioids  intentional self-harm  sequela,T402X2S,
Poisoning by other opioids  assault  initial encounter,T402X3A,
Poisoning by other opioids  assault  subsequent encounter,T402X3D,
Poisoning by other opioids  assault  sequela,T402X3S,
Poisoning by other opioids  undetermined  initial encounter,T402X4A,
Poisoning by other opioids  undetermined  subsequent encounter,T402X4D,
Poisoning by other opioids  undetermined  sequela,T402X4S,
Adverse effect of other opioids  initial encounter,T402X5A,
Adverse effect of other opioids  subsequent encounter,T402X5D,
Adverse effect of other opioids  sequela,T402X5S,
Underdosing of other opioids  initial encounter,T402X6A,
Underdosing of other opioids  subsequent encounter,T402X6D,
Underdosing of other opioids  sequela,T402X6S,
Poisoning by methadone  accidental (unintentional)  initial encounter,T403X1A,
Poisoning by methadone  accidental (unintentional)  subsequent encounter,T403X1D,
Poisoning by methadone  accidental (unintentional)  sequela,T403X1S,
Poisoning by methadone  intentional self-harm  initial encounter,T403X2A,
Poisoning by methadone  intentional self-harm  subsequent encounter,T403X2D,
Poisoning by methadone  intentional self-harm  sequela,T403X2S,
Poisoning by methadone  assault  initial encounter,T403X3A,
Poisoning by methadone  assault  subsequent encounter,T403X3D,
Poisoning by methadone  assault  sequela,T403X3S,
Poisoning by methadone  undetermined  initial encounter,T403X4A,
Poisoning by methadone  undetermined  subsequent encounter,T403X4D,
Poisoning by methadone  undetermined  sequela,T403X4S,
Adverse effect of methadone  initial encounter,T403X5A,
Adverse effect of methadone  subsequent encounter,T403X5D,
Adverse effect of methadone  sequela,T403X5S,
Underdosing of methadone  initial encounter,T403X6A,
Underdosing of methadone  subsequent encounter,T403X6D,
Underdosing of methadone  sequela,T403X6S,
Poisoning by other synthetic narcotics  accidental (unintentional)  initial encounter,T404X1A,
Poisoning by other synthetic narcotics  accidental (unintentional)  subsequent encounter,T404X1D,
Poisoning by other synthetic narcotics  accidental (unintentional)  sequela,T404X1S,
Poisoning by other synthetic narcotics  intentional self-harm  initial encounter,T404X2A,
Poisoning by other synthetic narcotics  intentional self-harm  subsequent encounter,T404X2D,
Poisoning by other synthetic narcotics  intentional self-harm  sequela,T404X2S,
Poisoning by other synthetic narcotics  assault  initial encounter,T404X3A,
Poisoning by other synthetic narcotics  assault  subsequent encounter,T404X3D,
